codigo_material,nombre_material,motivo_aparece,demanda_bodega_fq,casos_bodega_fq,cantidad_oc_pendiente,stock_transito,stock_en_curso_pedido,estado_cobertura,estado_planificable,codigo_suministrador,nombre_suministrador,catman_nombre,catman_categoria,marca_material,unidad_medida
91000867,Adaptador P/Tanque PP ½ PGM,pedido BFQ + OC pendiente + transito,20.0,1,400.0,400.0,0.0,cubierto_con_transito,planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,PLASTIGAMA (ACCESORIO),Sin marca registrada,UN
91000917,Neplo R/R PP 1 x 10 cm PGM,pedido BFQ + OC pendiente + transito,20.0,1,200.0,200.0,0.0,cubierto_con_transito,planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,PLASTIGAMA (ACCESORIO),Sin marca registrada,UN
91035000,"Amoladora Angular 4-1/2"" 850w 110v/60h",pedido BFQ + OC pendiente,3.0,1,15.0,0.0,0.0,cubierto_con_transito,planificable,1603453,FERREMUNDO S.A.S.,Sin catman registrado,FERREMUNDO S.A.S.,Sin marca registrada,UN
91004043,Tanque Botella 00250 Lt C/Kit ½ PGM,pedido BFQ,1.0,1,0.0,0.0,0.0,faltante,planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,PLASTIGAMA (TANQUE),Sin marca registrada,UN
91008644,Tapa P/Caja Ciega Octogonal PGM,OC pendiente + transito,0.0,0,800.0,800.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91000779,Tee Flex ½ PGM,OC pendiente + transito,0.0,0,600.0,600.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91002548,Tapon Desague Hembra 050 mm PGM,OC pendiente + transito,0.0,0,570.0,570.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91005751,Tubo Mang Negra Aqu-Flex ½ 80Psi Eco PGM,OC pendiente + transito,0.0,0,500.0,500.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91000869,Adaptador P/Tanque PP 1 PGM,OC pendiente + transito,0.0,0,360.0,360.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91031497,Yee Desague 075 mm PDR,OC pendiente + transito,0.0,0,210.0,210.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91002489,Cinta Aislante 19 mmx 18 mx 0.13 mm PGM,OC pendiente + transito,0.0,0,180.0,180.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91009859,Tapa Octogonal Electrocables,OC pendiente + transito,0.0,0,132.0,132.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91030641,SikaBoom M LA 500ml,OC pendiente + transito,0.0,0,100.0,100.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91028033,"Tubo u-PVC EC 20mm x 6m 1,25MPa 181psi",OC pendiente + transito,0.0,0,100.0,100.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91002561,Tee Desague 160 mm E/C PGM,OC pendiente + transito,0.0,0,91.0,91.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025492,Cable THHN # 10 Unilay AWG Negro 100m,OC pendiente + transito,0.0,0,80.0,80.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91031520,Codo Desague C/Ramal 110mm x 50mmx90 PDR,OC pendiente + transito,0.0,0,75.0,75.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91029505,SikaSello Pintores CO cartucho 280ml,OC pendiente + transito,0.0,0,72.0,72.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91015120,Tapa 4x4 Electrocables,OC pendiente + transito,0.0,0,72.0,72.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91002552,Tapon Desague Macho 160 mm PGM,OC pendiente + transito,0.0,0,69.0,69.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91031505,Sifon sin Registro 110 mm PDR,OC pendiente + transito,0.0,0,56.0,56.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91032857,Codo Desague Roscable ½ x 90º PGM,OC pendiente + transito,0.0,0,50.0,50.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91000964,Union PP R/R 1½ PGM,OC pendiente + transito,0.0,0,50.0,50.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91036863,Bota Goliat C/F 40 Amarillo Pica,OC pendiente + transito,0.0,0,48.0,48.0,0.0,cubierto,no planificable,1609356,PICA PLASTICOS INDUSTRIA,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91011567,Sika Mata Hongos 2Kg,OC pendiente + transito,0.0,0,44.0,44.0,0.0,cubierto,no planificable,1600118,SIKA ECUATORIANA S.A,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025464,Alambre Solido THHN #14 AWG Verde 100m,OC pendiente + transito,0.0,0,40.0,40.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91002384,Codo Conduit L/R 40 mm x 90 PGM,OC pendiente + transito,0.0,0,40.0,40.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91036470,Bota Goliat S/F 41 Amarilla Pica,OC pendiente + transito,0.0,0,36.0,36.0,0.0,cubierto,no planificable,1609356,PICA PLASTICOS INDUSTRIA,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025462,Alambre Solido THHN #14 AWG Negro 100m,OC pendiente + transito,0.0,0,32.0,32.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91027833,"Adap PVC Iny H CR EC 25mm a 1/2"" PGM",OC pendiente + transito,0.0,0,30.0,30.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025503,Cable THHN # 8 7Hilos AWG Blanco 100m,OC pendiente + transito,0.0,0,30.0,30.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91001425,Tubo PVC Roscable AA Caliente 1x6m PGM,OC pendiente + transito,0.0,0,30.0,30.0,0.0,cubierto,no planificable,1603646,MEXICHEM ECUADOR S.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91036880,Bota Goliat S/F 35 Amarillo Pica,OC pendiente + transito,0.0,0,24.0,24.0,0.0,cubierto,no planificable,1609356,PICA PLASTICOS INDUSTRIA,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91005822,Extension SPT 2x18 de 3m,OC pendiente + transito,0.0,0,24.0,24.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91030529,Pintura en Spray Amarillo Oscuro / 31,OC pendiente + transito,0.0,0,24.0,24.0,0.0,cubierto,no planificable,1609746,IMPORTADORA DE FERRETERI,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91009862,Tapa 5x5 Electrocables,OC pendiente + transito,0.0,0,24.0,24.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
91025463,Alambre Solido THHN #14 AWG Rojo 100m,OC pendiente + transito,0.0,0,20.0,20.0,0.0,cubierto,no planificable,1603643,ELECTROCABLES C.A.,Sin catman registrado,Sin categoria catman,Sin marca registrada,UN
